Time	GLC	G6P	F6P	FBP
10	5.539973094	0.511379021	0.019053081	0.227663976
10.66666667	5.463888781	0.552186749	0.015203465	0.256477013
11.33333333	5.45243488	0.620074144	0.020073931	0.221628305
12	5.386348531	0.665020538	0.026775166	0.261749199
12.66666667	5.409419851	0.711166169	0.020894807	0.202719737
13.33333333	5.393365254	0.731910073	0.022051722	0.163805832
14	5.227015826	0.768426008	0.024103291	0.151403934
14.66666667	5.276851959	0.847628633	0.02600677	0.155066434
15.33333333	5.171774246	0.907374098	0.033969228	0.120664177
16	5.142934897	0.886673942	0.030474362	0.084457205
16.66666667	5.128340628	0.962751392	0.036958613	0.067407644
17.33333333	5.050303405	0.972773683	0.042813002	0.063706808
18	5.019004305	1.028524092	0.032133252	0.053766883
18.66666667	4.94453455	1.055055911	0.049525122	0.069715245
19.33333333	4.933842575	1.135915695	0.043839939	0.061124462
20	4.939183095	1.139165158	0.03609948	0.08379967
20.66666667	4.86368338	1.155869956	0.058407228	0.074125378
21.33333333	4.804456701	1.195888183	0.048848845	0.064993713
22	4.826633561	1.221942204	0.047789743	0.086410636
22.66666667	4.787941884	1.259077854	0.043396683	0.056074855
23.33333333	4.764097179	1.266224712	0.043147377	0.067056249
24	4.704265228	1.317010883	0.04696942	0.111772173
24.66666667	4.677623493	1.348098657	0.051912072	0.074864571
25.33333333	4.621491703	1.311486853	0.053017232	0.053932751
26	4.6229715	1.389301624	0.056938034	0.074750304
26.66666667	4.616594248	1.430692537	0.054511352	0.065263663
27.33333333	4.556290067	1.467582416	0.069344081	0.059196124
28	4.563251298	1.496794201	0.06651157	0.058822654
28.66666667	4.62038989	1.545808793	0.05903785	0.060600751
29.33333333	4.472103266	1.556021335	0.064922247	0.061014032
30	4.433724787	1.547528364	0.063450802	0.067406165
30.66666667	4.418460714	1.564560974	0.06533464	0.089436859
31.33333333	4.376652771	1.571594653	0.073971748	0.071790308
32	4.367463984	1.648045408	0.077812574	0.090328749
32.66666667	4.310564237	1.670485124	0.084789228	0.086679436
33.33333333	4.349980049	1.70285214	0.066063101	0.13539003
34	4.310207273	1.713229542	0.080621228	0.106167877
34.66666667	4.267498907	1.73950877	0.075945621	0.089659272
35.33333333	4.271384395	1.776549178	0.063487725	0.078041997
36	4.238748825	1.779530684	0.085741846	0.126241749
36.66666667	4.217888196	1.797685915	0.078973135	0.134834437
37.33333333	4.188737301	1.803641901	0.080083913	0.151960523
38	4.154064338	1.814923815	0.084991282	0.152138375
38.66666667	4.108572023	1.854957156	0.07072034	0.11459043
39.33333333	4.07829913	1.865990055	0.085364627	0.108905158
