Time	ACE	BPG	CO2	ETOH	F6P	F16P	F26BP	G6P	GLCi	GLCo	GLY	Glyc	NAD	NADH	P2G	P3G	P	PEP	PYR	SUCC	SUM_P	Trh	TRIO
0	0.17	0	1	50	0.62	5.51	0.02	2.45	0.087	50	0.15	0	1.2	0.39	0.12	0.9	6.31	0.07	1.85	0	4.1	0	0.96
0.001	0.021126555124805	0.000610424750648592	1.03081893336426	50.1781243355671	0.525489099010996	5.38627368417582	0.02	2.48738727502128	0.0934014259611179	49.91131320989	0.19056059677817	0.00600000000000001	1.32705772482731	0.262942275172691	0.0982885649916138	0.789950791920245	6.28398671884186	0.0986584674400947	2.01094796104274	0.000784021336143093	4.1	0.0024	1.33483487159387
0.002	0.0184991648285549	0.000586092946388171	1.06586699924393	50.2149520716948	0.4583072409341	5.28402342124068	0.02	2.5094776577976	0.0971983643698174	49.8229578516968	0.234239301210379	0.012	1.28560376438818	0.304396235611816	0.0893180509664894	0.716150941230353	6.31023654280677	0.0988944168537054	2.1791474631956	0.0012078813602219	4.1	0.0048	1.61266766227515
0.003	0.0163124918768981	0.000562001112319877	1.10508812083818	50.2556172282013	0.413726115151569	5.20082531851464	0.02	2.52012152752946	0.0991760738952798	49.7347892954354	0.280316719701801	0.018	1.24060612460311	0.349393875396887	0.0822216004783682	0.65899800458037	6.34839990392149	0.0958605295781073	2.33785996557289	0.00157920037994668	4.1	0.00719999999999999	1.8210163970854
0.004	0.0147583689177969	0.000537519956928117	1.14822645261752	50.2996468304092	0.385869580125124	5.13419531895893	0.02	2.52302226111933	0.0999645210014811	49.6467110252933	0.327995380185173	0.024	1.19829603740932	0.391703962590677	0.0762034421344281	0.610209193222224	6.38795104348653	0.0927806828916535	2.48565700242679	0.00191062664520519	4.1	0.00959999999999999	1.97646491356904
0.005	0.0136988870182716	0.000513004733023689	1.19500061230923	50.3468729562532	0.369352859123585	5.08168548131472	0.02	2.52115546936462	0.100020209149609	49.5586618858688	0.376709866024679	0.03	1.16099018064742	0.429009819352584	0.0708562424266093	0.566667789445843	6.42440938441147	0.0898400655983896	2.62307177356117	0.00221438451879116	4.1	0.012	2.09158883625837
0.006	0.0129818776056572	0.000488931538501218	1.24513290618125	50.3971522861656	0.360026504956763	5.04088499588551	0.02	2.51660430166198	0.0996644086068241	49.4706056795679	0.426067923289201	0.036	1.12910850872725	0.460891491272747	0.0660182500095663	0.527319586671085	6.45572000928009	0.0869116162763491	2.7507422964361	0.00249937120493785	4.1	0.0144	2.17614670824008
0.007	0.0124958283947293	0.000465758769330894	1.2983555740331	50.4503164504428	0.355018148480063	5.0095127201812	0.02	2.51068691597674	0.0991161659528395	49.3825234390453	0.475798001343396	0.0420000000000001	1.10225620601065	0.48774379398935	0.0616424417256047	0.491892449858213	6.48107947310045	0.083946759254044	2.86924031934228	0.00277164759770856	4.1	0.0168	2.23774391640182
0.008	0.0121659371736323	0.000443875748924505	1.35441412143488	50.5061775830784	0.352465356794885	4.98553937739531	0.02	2.50417177012081	0.0985184055069951	49.2944077070534	0.525710748621545	0.048	1.07976434618143	0.510235653818568	0.0577218533175976	0.460338772794381	6.50037833670911	0.0809751505893327	2.97912430985947	0.00303530059135457	4.1	0.0192	2.28226593389107
0.009	0.0119430106849276	0.000423570398819575	1.41307023353282	50.5645410052227	0.351208818510368	4.96726240912827	0.02	2.49747012446725	0.0979589360132858	49.2062583532675	0.575672893737063	0.054	1.06093830242695	0.529061697573048	0.0542543363845907	0.432604116952544	6.5138858103141	0.0780624762117926	3.0809815366148	0.00329310881252701	4.1	0.0216000000000001	2.31421355339424
